Date/Time,Type,Profit USD
2021-01-06 14:30:00+00:00,Long Entry,
2021-01-06 14:30:00+00:00,Long Exit (SL),-781.8666666666832
2021-01-06 15:00:00+00:00,Long Entry,
2021-01-06 15:30:00+00:00,Long Exit (TP),1622.2000000000116
2021-01-06 16:30:00+00:00,Long Entry,
2021-01-06 16:45:00+00:00,Long Exit,291.6666666666788
2021-01-06 16:45:00+00:00,Short Entry,
2021-01-06 17:15:00+00:00,Short Exit,-318.3333333333576
2021-01-06 17:15:00+00:00,Long Entry,
2021-01-06 17:45:00+00:00,Long Exit,70.0
2021-01-06 17:45:00+00:00,Short Entry,
2021-01-06 18:15:00+00:00,Short Exit,-80.0
2021-01-06 18:15:00+00:00,Long Entry,
2021-01-06 18:15:00+00:00,Long Exit (SL),-554.8666666666759
2021-01-06 18:30:00+00:00,Short Entry,
2021-01-06 18:45:00+00:00,Short Exit,-178.3333333333212
2021-01-06 18:45:00+00:00,Long Entry,
2021-01-06 19:15:00+00:00,Long Exit (SL),-709.3999999999869
2021-01-06 19:30:00+00:00,Short Entry,
2021-01-06 19:45:00+00:00,Short Exit (TP),1432.4666666666963
2021-01-07 05:30:00+00:00,Long Entry,
2021-01-07 06:00:00+00:00,Long Exit (TP),402.599999999984
2021-01-07 07:15:00+00:00,Long Entry,
2021-01-07 07:15:00+00:00,Long Exit (SL),-385.466666666689
2021-01-07 07:30:00+00:00,Short Entry,
2021-01-07 08:00:00+00:00,Short Exit (TP),710.6666666666933
2021-01-07 09:45:00+00:00,Short Entry,
2021-01-07 10:30:00+00:00,Short Exit,-168.3333333333576
2021-01-07 10:30:00+00:00,Long Entry,
2021-01-07 10:45:00+00:00,Long Exit (SL),-409.6666666666715
2021-01-07 11:30:00+00:00,Long Entry,
2021-01-07 12:30:00+00:00,Long Exit (TP),638.8666666666904
2021-01-07 12:45:00+00:00,Long Entry,
2021-01-07 14:00:00+00:00,Long Exit,66.66666666664241
2021-01-07 14:00:00+00:00,Short Entry,
2021-01-07 14:00:00+00:00,Short Exit (SL),-298.9333333333343
2021-01-07 14:15:00+00:00,Long Entry,
2021-01-07 14:30:00+00:00,Long Exit (TP),581.2666666666701
2021-01-07 14:45:00+00:00,Long Entry,
2021-01-07 15:00:00+00:00,Long Exit (TP),1188.4000000000015
2021-01-07 16:15:00+00:00,Short Entry,
2021-01-07 16:45:00+00:00,Short Exit,-443.3333333333212
2021-01-07 16:45:00+00:00,Long Entry,
2021-01-07 17:00:00+00:00,Long Exit (SL),-562.599999999984
2021-01-07 17:15:00+00:00,Short Entry,
2021-01-07 18:30:00+00:00,Short Exit (SL),-596.1333333333096
2021-01-07 18:45:00+00:00,Long Entry,
2021-01-07 20:15:00+00:00,Long Exit (TP),633.9333333333343
2021-01-08 05:15:00+00:00,Long Entry,
2021-01-08 06:45:00+00:00,Long Exit,-46.66666666664241
2021-01-08 06:45:00+00:00,Short Entry,
2021-01-08 07:00:00+00:00,Short Exit,-30.0
2021-01-08 07:00:00+00:00,Long Entry,
2021-01-08 07:00:00+00:00,Long Exit (TP),273.26666666667734
2021-01-08 07:15:00+00:00,Long Entry,
2021-01-08 07:15:00+00:00,Long Exit (SL),-248.13333333331684
2021-01-08 08:00:00+00:00,Long Entry,
2021-01-08 08:15:00+00:00,Long Exit,45.0
2021-01-08 08:15:00+00:00,Short Entry,
2021-01-08 08:45:00+00:00,Short Exit,-18.333333333357587
2021-01-08 08:45:00+00:00,Long Entry,
2021-01-08 09:00:00+00:00,Long Exit,101.6666666666788
2021-01-08 09:00:00+00:00,Short Entry,
2021-01-08 09:30:00+00:00,Short Exit (TP),489.59999999999127
2021-01-08 10:45:00+00:00,Short Entry,
2021-01-08 11:15:00+00:00,Short Exit (SL),-263.66666666668607
2021-01-08 11:30:00+00:00,Long Entry,
2021-01-08 12:00:00+00:00,Long Exit,115.0
2021-01-08 12:00:00+00:00,Short Entry,
2021-01-08 12:00:00+00:00,Short Exit (SL),-219.19999999998254
2021-01-08 13:30:00+00:00,Short Entry,
2021-01-08 13:30:00+00:00,Short Exit (SL),-232.79999999998836
2021-01-08 13:45:00+00:00,Long Entry,
2021-01-08 14:00:00+00:00,Long Exit,-28.333333333321207
2021-01-08 14:00:00+00:00,Short Entry,
2021-01-08 14:15:00+00:00,Short Exit,1.6666666666787933
2021-01-08 14:15:00+00:00,Long Entry,
2021-01-08 14:30:00+00:00,Long Exit (TP),516.4666666666744
2021-01-08 14:45:00+00:00,Long Entry,
2021-01-08 15:00:00+00:00,Long Exit,130.0
2021-01-08 15:00:00+00:00,Short Entry,
2021-01-08 15:15:00+00:00,Short Exit,-341.6666666666788
